thread,count,repeat,seconds,minutes
1,1,1,164.649599,2.74415998333333
1,1,2,184.4016676,3.07336112666667
1,1,3,159.5311646,2.65885274333333
2,2,1,188.7560376,3.14593396
2,2,2,170.553238,2.84255396666667
2,2,3,166.4147193,2.773578655
3,3,1,88.0040869,1.46673478166667
3,3,2,88.079321,1.46798868333333
3,3,3,88.7146475,1.47857745833333
4,4,1,93.6119522,1.56019920333333
4,4,2,93.3796068,1.55632678
4,4,3,93.3157016,1.55526169333333
5,5,1,64.5575326,1.07595887666667
5,5,2,65.7302743,1.09550457166667
5,5,3,65.2821902,1.08803650333333
6,6,1,69.0165854,1.15027642333333
6,6,2,69.5041861,1.15840310166667
6,6,3,72.3491135,1.20581855833333
7,7,1,60.1337437,1.00222906166667
